,id,term,vote
12,13,abidjan,3
16,17,aboard,3
31,32,absolut,3
52,53,account,3
55,56,accus,3
67,68,act,3
70,71,activist,3
81,82,aden,3
108,109,advis,3
129,130,africa,3
130,131,african,3
134,135,aftershock,3
136,137,agassi,4
140,141,agent,3
148,149,agreement,3
157,158,aid,3
202,203,alassan,3
208,209,alberto,3
216,217,alert,3
275,276,america,3
276,277,american,3
280,281,amid,3
286,287,ammunit,3
294,295,ana,3
310,311,andr,3
333,334,announc,3
361,362,antonio,3
377,378,appear,3
396,397,april,3
405,406,arabian,3
422,423,area,3
423,424,arena,3
437,438,arkansa,3
442,443,arm,3
457,458,arrest,3
468,469,arturo,3
473,474,ashcroft,3
475,476,asia,3
476,477,asia-pacif,3
503,504,asylum,3
520,521,attack,3
529,530,aubrey,3
536,537,august,3
545,546,australian,4
625,626,ballot,3
644,645,bar,3
650,651,bare,3
651,652,barent,4
694,695,beat,3
701,702,bedi,3
721,722,belgrad,3
743,744,berger,3
857,858,boat,3
860,861,bodi,3
871,872,bomb,3
880,881,bond,3
881,882,bone,3
955,956,bribe,3
993,994,brunei,3
1010,1011,build,3
1040,1041,buri,3
1056,1057,busi,3
1057,1058,businessman,3
1064,1065,buy,3
1092,1093,calvario,3
1101,1102,campaign,3
1108,1109,cancer,3
1109,1110,candid,3
1110,1111,candidaci,3
1128,1129,capit,3
1151,1152,carlo,3
1155,1156,carnahan,4
1180,1181,casualti,3
1209,1210,cellular,3
1215,1216,center,3
1218,1219,central,3
1221,1222,ceremoni,3
1230,1231,cessna,3
1245,1246,champion,3
1304,1305,chi,3
1308,1309,chief,3
1316,1317,china,3
1332,1333,chri,3
1337,1338,christma,3
1347,1348,church,3
1363,1364,citi,3
1369,1370,civil,3
1370,1371,civilian,3
1393,1394,clemenc,3
1410,1411,clinton,3
1436,1437,coal,3
1438,1439,coast,3
1450,1451,cocoa,3
1456,1457,coffe,3
1467,1468,cole,3
1470,1471,colina,4
1472,1473,collaps,3
1481,1482,collis,3
1517,1518,communist,3
1518,1519,commut,3
1553,1554,conced,3
1565,1566,concret,3
1568,1569,condol,3
1585,1586,congress,3
1587,1588,congressman,3
1591,1592,connal,3
1620,1621,constitut,3
1647,1648,control,3
1656,1657,convict,3
1663,1664,cooper,3
1691,1692,corrupt,3
1710,1711,counti,3
1711,1712,countri,3
1715,1716,coup,3
1720,1721,court,3
1733,1734,cowardli,3
1748,1749,crash,3
1777,1778,crimin,3
1791,1792,cross,3
1872,1873,dakota,3
1875,1876,dalla,3
1880,1881,damag,3
1893,1894,danger,3
1915,1916,davenport,4
1929,1930,dead,3
1939,1940,death,3
1940,1941,debat,3
1951,1952,decemb,3
1958,1959,declar,3
1979,1980,defeat,3
1982,1983,defend,3
1983,1984,defens,3
2006,2007,delhi,3
2024,2025,democrat,3
2030,2031,deni,3
2040,2041,depart,3
2069,2070,despic,3
2074,2075,destroy,3
2081,2082,deter,3
2116,2117,die,3
2124,2125,dig,3
2151,2152,dirt,3
2236,2237,dive,3
2237,2238,diver,3
2251,2252,dock,3
2309,2310,draman,3
2314,2315,draw,3
2380,2381,earthquak,3
2387,2388,east,3
2396,2397,econom,3
2397,2398,economi,3
2405,2406,edmond,3
2406,2407,edmund,4
2437,2438,elect,3
2439,2440,electr,3
2467,2468,emerg,3
2484,2485,employe,3
2501,2502,enforc,3
2550,2551,epicent,3
2573,2574,escap,3
2574,2575,escape,3
2579,2580,espionag,3
2605,2606,eve,3
2627,2628,ex-intellig,3
2648,2649,exclud,3
2649,2650,exclus,3
2683,2684,explos,3
2685,2686,export,3
2770,2771,fbi,3
2780,2781,federico,3
2792,2793,felt,3
2800,2801,ferrero,3
2895,2896,fleet,3
2941,2942,food,3
2961,2962,foreign,3
3000,3001,fourth,3
3016,3017,francisco,3
3021,3022,frantic,3
3022,3023,fraud,3
3067,3068,fugit,3
3068,3069,fujimori,4
3110,3111,game,3
3140,3141,gbagbo,4
3145,3146,gen.,3
3212,3213,good,3
3221,3222,gore,3
3226,3227,gov,3
3228,3229,govern,3
3233,3234,governor,3
3247,3248,grand,3
3323,3324,guatemala,3
3326,3327,guei,4
3339,3340,gujarat,3
3350,3351,gustavo,3
3393,3394,hand,3
3409,3410,hanoi,3
3460,3461,hawkin,3
3473,3474,health,3
3520,3521,henri,3
3551,3552,high-spe,3
3564,3565,hilli,3
3571,3572,hingi,4
3615,3616,hondura,3
3639,3640,hospit,3
3655,3656,hous,3
3679,3680,hull,3
3732,3733,identifi,3
3836,3837,india,3
3837,3838,indian,3
3868,3869,influenc,3
3871,3872,inform,3
3883,3884,injur,3
3884,3885,injuri,3
3969,3970,investig,3
3992,3993,irv,3
4001,4002,isra,3
