,id,term,vote
4002,4003,israel,3
4021,4022,ivori,4
4022,4023,ivorian,3
4026,4027,jack,3
4055,4056,japan,3
4056,4057,japanes,3
4060,4061,jean,3
4068,4069,jefferson,3
4104,4105,john,3
4131,4132,juan,3
4143,4144,juli,3
4149,4150,junk,3
4150,4151,junta,3
4189,4190,kenedi,3
4220,4221,kill,3
4246,4247,knock,3
4258,4259,konan,3
4266,4267,kosovo,3
4267,4268,kostunica,3
4277,4278,kuerten,3
4281,4282,kursk,4
4319,4320,landslid,3
4337,4338,larri,3
4359,4360,laurent,3
4366,4367,lawmak,3
4371,4372,lawyer,3
4382,4383,leader,3
4385,4386,leak,3
4425,4426,leonard,3
4456,4457,lieuten,3
4470,4471,lima,3
4479,4480,lindsay,3
4545,4546,longtim,3
4572,4573,loui,3
4633,4634,madrid,3
4635,4636,magana,3
4644,4645,magnitud,3
4652,4653,main,3
4686,4687,manhunt,3
4692,4693,mansion,3
4700,4701,marat,3
4731,4732,marquez,3
4741,4742,martina,3
4751,4752,mass,3
4760,4761,match,3
4809,4810,mediat,3
4821,4822,mel,3
4823,4824,melbourn,3
4834,4835,men,3
4864,4865,mexico,3
4885,4886,middl,3
4898,4899,miguel,3
4908,4909,mile,3
4914,4915,militari,3
4918,4919,milken,4
4927,4928,milosev,4
4939,4940,minh,3
4942,4943,minist,3
4972,4973,miss,3
4974,4975,mission,3
4977,4978,missouri,3
5016,5017,monday,3
5021,5022,monica,3
5029,5030,montesino,4
5051,5052,moscow,3
5162,5163,nation,3
5165,5166,nativ,3
5170,5171,naval,3
5171,5172,navi,3
5179,5180,nearbi,3
5197,5198,negoti,3
5199,5200,neighborhood,3
5208,5209,nepal,3
5254,5255,night,3
5294,5295,north,3
5300,5301,northwest,3
5303,5304,norwegian,3
5329,5330,nuclear,3
5357,5358,obstacl,3
5379,5380,offic,3
5430,5431,open,3
5440,5441,opposit,3
5476,5477,oshman,3
5480,5481,ouattara,4
5490,5491,outcom,3
5564,5565,paddi,3
5575,5576,pakistan,3
5582,5583,palestinian,3
5590,5591,panama,3
5594,5595,paniagua,3
5595,5596,panic,3
5611,5612,pardon,4
5612,5613,parent,3
5620,5621,parol,3
5622,5623,parti,3
5686,5687,peltier,4
5694,5695,peninsula,3
5701,5702,pentagon,3
5734,5735,peru,4
5735,5736,peruvian,3
5739,5740,pete,3
5786,5787,pilot,3
5789,5790,pine,3
5811,5812,plane,3
5822,5823,play,3
5823,5824,player,3
5862,5863,polic,3
5868,5869,polit,3
5889,5890,pope,4
5896,5897,port,3
5938,5939,power,3
5984,5985,presid,3
5987,5988,presidenti,3
6014,6015,prison,3
6038,6039,process,3
6087,6088,protest,3
6134,6135,putin,3
6141,6142,quak,3
6193,6194,race,3
6203,6204,radioprograma,3
6227,6228,ralli,3
6261,6262,rare,3
6348,6349,recov,3
6356,6357,red,3
6377,6378,refuel,3
6409,6410,relat,3
6410,6411,relationship,3
6459,6460,repatri,3
6475,6476,republ,3
6476,6477,republican,3
6480,6481,request,3
6483,6484,rescu,3
6484,6485,rescuer,3
6488,6489,reserv,3
6493,6494,resign,3
6506,6507,respons,3
6540,6541,rev,3
6570,6571,ricardo,3
6571,6572,rice,3
6581,6582,ridg,3
6621,6622,robber,3
6622,6623,robberi,3
6625,6626,robert,3
6633,6634,rock,3
6647,6648,roger,3
6661,6662,ron,3
6682,6683,round,3
6696,6697,rubbl,3
6706,6707,rule,3
6709,6710,rumor,3
6712,6713,run,3
6717,6718,runoff,3
6727,6728,russia,3
6728,6729,russian,4
6756,6757,safin,4
6761,6762,saigon,3
6763,6764,sailor,3
6767,6768,sala,3
6780,6781,salvador,4
6781,6782,salvadoran,3
6787,6788,sampra,4
6789,6790,san,3
6798,6799,sandi,3
6805,6806,sank,3
6806,6807,santa,3
6836,6837,scandal,3
6885,6886,sea,3
6908,6909,second,3
6919,6920,secret,3
6930,6931,seed,4
6944,6945,sele,3
6957,6958,semifin,3
6962,6963,senat,3
6973,6974,sentenc,3
6980,6981,serb,3
6982,6983,serbia,3
6983,6984,serbian,3
7003,7004,seven,3
7025,7026,shake,3
7073,7074,ship,3
7084,7085,shook,3
7106,7107,shovel,3
7134,7135,sifford,3
7196,7197,sketchi,3
7206,7207,sky,3
7211,7212,slam,3
7237,7238,slobodan,3
7251,7252,small,3
7321,7322,son,3
7337,7338,sosonati,3
7341,7342,sound,3
7346,7347,south,3
7392,7393,spi,3
7414,7415,sport,3
7443,7444,st.,3
7520,7521,step,3
7558,7559,store,3
7590,7591,strike,3
7609,7610,structur,3
7627,7628,sub,3
7634,7635,submarin,4
7665,7666,suicid,3
7666,7667,suit,3
7675,7676,summit,3
7682,7683,sunken,4
7694,7695,support,3
7698,7699,suprem,3
7717,7718,survey,3
7719,7720,survivor,3
7721,7722,susan,3
7724,7725,suspect,3
7737,7738,sway,3
7883,7884,tenni,3
7902,7903,terror,3
7903,7904,terrorist,3
7912,7913,texa,3
7995,7996,tie,3
8024,8025,titl,3
8041,8042,tokyo,3
8045,8046,toll,3
8047,8048,tom,3
8072,8073,torpedo,3
8086,8087,tournament,3
8096,8097,trade,3
8100,8101,traffick,3
8120,8121,transpar,3
8145,8146,trial,3
8158,8159,trip,3
8184,8185,tudela,3
8186,8187,tuesday,3
8211,8212,twin-engin,3
8234,8235,u.s.,3
8343,8344,unifi,3
8344,8345,uniform,3
8447,8448,uss,3
8454,8455,utterli,3
8468,8469,valentin,3
8505,8506,venu,3
8526,8527,vice,3
8530,8531,victim,3
8536,8537,vietnam,4
8537,8538,vietnames,4
8559,8560,violenc,3
8571,8572,visit,3
8583,8584,vladimiro,3
8591,8592,vojislav,3
8600,8601,vote,3
8630,8631,wall,3
8636,8637,wander,3
8639,8640,war,3
8685,8686,weapon,3
8689,8690,weather,3
8722,8723,west,3
8723,8724,western,3
8738,8739,white,3
8740,8741,whitewat,4
8761,8762,wilson,3
8762,8763,wimbledon,3
8763,8764,win,3
8799,8800,woman,3
8826,8827,worship,3
8837,8838,wreckag,3
8866,8867,year,3
8871,8872,yemen,3
8891,8892,yugoslav,3
8892,8893,yugoslavia,3
